"query","search interest","increase percent"
"brasil x egito",1,"850%"
"busca brisa",2,"250%"
"ibex 450",3,"150%"
"presente dia dos namorados",5,"80%"
"camisa do brasil",21,"60%"
"camiseta brasil",13,"60%"
"camisa brasil",38,"50%"
"blusa do brasil",7,"50%"
"bandeira do brasil",5,"40%"
"blusa de frio masculina",2,"30%"
"xiaomi 17 pro max",3,"20%"
"moletom feminino",5,"20%"
"a57",4,"20%"
"panela de pressão",8,"20%"
"bota feminina cano curto",2,"10%"
"guarda roupa casal",8,"10%"
"bota feminina",15,"10%"
"adeforte turbo",1,"10%"
"ps5",20,"10%"
"iphone 17 pro max",13,"10%"
"tenis nike",15,"10%"
"shopping",21,"10%"
"iphone 17 pro",16,"8%"
"whisky",7,"8%"
"wepink",5,"8%"
"aliexpress",5,"7%"
"renner",13,"7%"
"pôr do sol hoje",1,"6%"
"caixa de som",13,"6%"
"lavadora de alta pressão",2,"6%"
"geladeira",34,"6%"
"airsoft",4,"6%"
"iphone 14 pro max",5,"6%"
"decathlon",2,"5%"
"chuveiro lorenzetti",6,"5%"
"netshoes",7,"5%"
"melissa",5,"5%"
"bebê reborn",3,"4%"
"penteadeira",5,"4%"
"tenis adidas feminino",4,"4%"
"perfume arabe",4,"4%"
"air fryer",10,"4%"
"tênis feminino",24,"4%"
"xbox series s",5,"4%"
"chuteira society",5,"4%"
"adidas",62,"4%"
"perfume masculino",9,"4%"
"vivara",7,"4%"
"s25",13,"2%"
"dafiti",4,"2%"